method,model_name,corruption,group,severity,n_images,accuracy,f1_macro,f1_Neither,f1_Only_Fire,f1_Only_Smoke,f1_Both,accuracy_drop,relative_drop_pct
iteration2,MobileNetV3-Small,none,clean,0,4306,0.894565722248026,0.8437917384672138,0.9482715114812011,0.6878306878306878,0.8804440649017934,0.8586206896551725,0.0,0.0
iteration2,MobileNetV3-Small,brightness_down,seen_in_training,1,4306,0.8889921040408733,0.8363623766524042,0.9446401610468043,0.6775956284153005,0.8726655348047538,0.8505481823427582,0.005573618207152742,0.62305295950155
iteration2,MobileNetV3-Small,brightness_down,seen_in_training,2,4306,0.8769159312587088,0.8250294056147258,0.9356962025316455,0.6690391459074733,0.8544995794785534,0.8408826945412311,0.017649790989317182,1.9730010384215937
iteration2,MobileNetV3-Small,brightness_down,seen_in_training,3,4306,0.8485833720390153,0.7935037593145131,0.9154607768469155,0.6237288135593221,0.8122637547249055,0.8225616921269095,0.04598235020901065,5.140186915887846
iteration2,MobileNetV3-Small,brightness_up,seen_in_training,1,4306,0.8769159312587088,0.822719111317264,0.9351828499369483,0.649746192893401,0.8535637149028078,0.8523836875358989,0.017649790989317182,1.9730010384215937
iteration2,MobileNetV3-Small,brightness_up,seen_in_training,2,4306,0.8311658151416628,0.7787906685327585,0.8956629491945477,0.6086956521739131,0.7734056987788331,0.8373983739837398,0.06339990710636323,7.08722741433022
iteration2,MobileNetV3-Small,brightness_up,seen_in_training,3,4306,0.7524384579656294,0.6955403713545203,0.8395773294908742,0.532967032967033,0.6161515453639083,0.793465577596266,0.14212726428239664,15.887850467289718
iteration2,MobileNetV3-Small,contrast_down,seen_in_training,1,4306,0.8838829540176498,0.8313287796829354,0.9384223918575063,0.6666666666666666,0.8706278971765697,0.8495981630309989,0.010682768230376172,1.1941848390446468
iteration2,MobileNetV3-Small,contrast_down,seen_in_training,2,4306,0.8648397584765444,0.8090963601886023,0.9273338505301267,0.6319327731092437,0.8474295190713101,0.8296892980437284,0.029725963771481623,3.3229491173416372
iteration2,MobileNetV3-Small,contrast_down,seen_in_training,3,4306,0.827914537854157,0.7665769030125403,0.8994237820848612,0.552821997105644,0.8110137672090113,0.8030480656506448,0.06665118439386897,7.450674974039454
iteration2,MobileNetV3-Small,defocus_blur,unseen_in_training,1,4306,0.8820250812819321,0.8274716197534653,0.9394169835234474,0.654300168634064,0.8676844783715013,0.8484848484848485,0.012540640966093863,1.4018691588785093
iteration2,MobileNetV3-Small,defocus_blur,unseen_in_training,2,4306,0.828611240130051,0.7623373772147936,0.905765811531623,0.53954802259887,0.8107188430455126,0.7933168316831684,0.06595448211797494,7.372793354101768
iteration2,MobileNetV3-Small,defocus_blur,unseen_in_training,3,4306,0.7392011147236415,0.659781850167298,0.8572136836886465,0.3894736842105263,0.7123287671232876,0.6801112656467315,0.15536460752438452,17.367601246105913
iteration2,MobileNetV3-Small,fog,seen_in_training,1,4306,0.8808639108221087,0.8251349672719805,0.9375,0.6470588235294118,0.8681177976952625,0.8478632478632478,0.01370181142591731,1.531671858774661
iteration2,MobileNetV3-Small,fog,seen_in_training,2,4306,0.8513701811425918,0.7813221297973583,0.9276985743380856,0.5623100303951368,0.8528301886792453,0.7824497257769653,0.04319554110543422,4.828660436137065
iteration2,MobileNetV3-Small,fog,seen_in_training,3,4306,0.8281467719461217,0.7470183453270132,0.9122629582806574,0.5016393442622951,0.8251121076233184,0.7490589711417817,0.06641895030190426,7.424714434060222
iteration2,MobileNetV3-Small,gaussian_noise,unseen_in_training,1,4306,0.8718067812354854,0.8090290573946872,0.9371486969851814,0.6024844720496895,0.8681644764730818,0.8283185840707965,0.022758941012540612,2.5441329179646903
iteration2,MobileNetV3-Small,gaussian_noise,unseen_in_training,2,4306,0.814677194612169,0.7403352113562002,0.908949818934299,0.48383233532934133,0.8242838820008551,0.7442748091603053,0.07988852763585697,8.930425752855662
iteration2,MobileNetV3-Small,gaussian_noise,unseen_in_training,3,4306,0.723176962378077,0.6459544251271627,0.8563218390804598,0.3552055993000875,0.7404103479036575,0.631879914224446,0.17138875986994895,19.1588785046729
iteration2,MobileNetV3-Small,jpeg,unseen_in_training,1,4306,0.8808639108221087,0.8284524177576496,0.9347659247889486,0.6598639455782312,0.8693843594009983,0.8497954412624197,0.01370181142591731,1.531671858774661
iteration2,MobileNetV3-Small,jpeg,unseen_in_training,2,4306,0.8416163492800743,0.7824638950061736,0.9100283578241815,0.5884101040118871,0.8289855072463768,0.8024316109422492,0.05294937296795166,5.919003115264793
iteration2,MobileNetV3-Small,jpeg,unseen_in_training,3,4306,0.6816070599163957,0.6109430972312725,0.8092056421677802,0.3983315954118874,0.5846913580246914,0.651543793320731,0.2129586623316303,23.805815160955348
iteration2,MobileNetV3-Small,motion_blur,unseen_in_training,1,4306,0.8864375290292615,0.8315443273745824,0.9438259109311741,0.6597938144329897,0.8738277919863597,0.848729792147806,0.008128193218764457,0.9086188992730985
iteration2,MobileNetV3-Small,motion_blur,unseen_in_training,2,4306,0.8539247561542035,0.786807252443418,0.9242191500256016,0.5611940298507463,0.8522920203735145,0.8095238095238095,0.040640966093822506,4.543094496365517
iteration2,MobileNetV3-Small,motion_blur,unseen_in_training,3,4306,0.8107292150487692,0.738034977227889,0.8969979296066253,0.4791929382093317,0.8137462876537972,0.7622027534418022,0.08383650719925684,9.371754932502594
iteration3,MobileNetV3-Small robust,none,clean,0,4306,0.8954946586158848,0.8610455456255278,0.9408224674022067,0.7679671457905544,0.8620401337792643,0.873352435530086,0.0,0.0
iteration3,MobileNetV3-Small robust,brightness_down,seen_in_training,1,4306,0.8841151881096145,0.8472861363875452,0.9318469723840892,0.7442827442827443,0.8489033306255077,0.8641114982578397,0.011379470506270306,1.2707468879668034
iteration3,MobileNetV3-Small robust,brightness_down,seen_in_training,2,4306,0.8655364607524385,0.8331686518023597,0.9106776180698152,0.7375,0.8226894089646966,0.8618075801749271,0.029958197863446334,3.345435684647301
iteration3,MobileNetV3-Small robust,brightness_down,seen_in_training,3,4306,0.8367394333488156,0.8021295242668982,0.8875770020533881,0.7006109979633401,0.7894122226547294,0.8309178743961353,0.05875522526706922,6.561203319502075
iteration3,MobileNetV3-Small robust,brightness_up,seen_in_training,1,4306,0.8843474222015791,0.8437526842292077,0.9354518371400199,0.7323943661971831,0.8456260720411664,0.8615384615384616,0.011147236414305706,1.2448132780083083
iteration3,MobileNetV3-Small robust,brightness_up,seen_in_training,2,4306,0.8481189038550859,0.8099047531943038,0.9013738959764475,0.7045009784735812,0.7831431079894644,0.8506010303377218,0.047375754760798916,5.290456431535273
iteration3,MobileNetV3-Small robust,brightness_up,seen_in_training,3,4306,0.783790060380864,0.7334024685244391,0.8585320676082426,0.6156583629893239,0.6618146530810286,0.7976047904191617,0.11170459823502088,12.474066390041491
iteration3,MobileNetV3-Small robust,contrast_down,seen_in_training,1,4306,0.8824895494658616,0.8469581476160146,0.9291741242648939,0.7448559670781894,0.8460291734197731,0.867773325701202,0.013005109150023286,1.4522821576763556
iteration3,MobileNetV3-Small robust,contrast_down,seen_in_training,2,4306,0.8611240130051091,0.8280028698064047,0.9071949947862357,0.7272727272727273,0.8192488262910798,0.8582949308755761,0.03437064561077574,3.8381742738589297
