run_id,method,backbone,seed,split,metric,value,timestamp,git_sha,git_dirty
comparison-seed44-20260801-000402,comparison,firecnn,44.0,test,test_metrics.f1/Only_Smoke,0.720303605313093,2026-08-01T00:04:02+00:00,0e8e107,1
comparison-seed44-20260801-000402,comparison,firecnn,44.0,test,test_metrics.f1_macro,0.676499343965792,2026-08-01T00:04:02+00:00,0e8e107,1
comparison-seed42-20260801-001346,comparison,efficientnet_b0,42.0,test,best_val_loss,0.3564608311493979,2026-08-01T00:13:46+00:00,0e8e107,1
comparison-seed42-20260801-001346,comparison,efficientnet_b0,42.0,test,finetune.best_val_loss,0.3564608311493979,2026-08-01T00:13:46+00:00,0e8e107,1
comparison-seed42-20260801-001346,comparison,efficientnet_b0,42.0,test,finetune.epochs_completed,10.0,2026-08-01T00:13:46+00:00,0e8e107,1
comparison-seed42-20260801-001346,comparison,efficientnet_b0,42.0,test,finetune.global_epoch_offset,15.0,2026-08-01T00:13:46+00:00,0e8e107,1
comparison-seed42-20260801-001346,comparison,efficientnet_b0,42.0,test,head.best_val_loss,0.4482324003557806,2026-08-01T00:13:46+00:00,0e8e107,1
comparison-seed42-20260801-001346,comparison,efficientnet_b0,42.0,test,head.epochs_completed,5.0,2026-08-01T00:13:46+00:00,0e8e107,1
comparison-seed42-20260801-001346,comparison,efficientnet_b0,42.0,test,head.global_epoch_offset,5.0,2026-08-01T00:13:46+00:00,0e8e107,1
comparison-seed42-20260801-001346,comparison,efficientnet_b0,42.0,test,n_parameters,4336512.0,2026-08-01T00:13:46+00:00,0e8e107,1
comparison-seed42-20260801-001346,comparison,efficientnet_b0,42.0,test,test_accuracy,0.913144449605202,2026-08-01T00:13:46+00:00,0e8e107,1
comparison-seed42-20260801-001346,comparison,efficientnet_b0,42.0,test,test_f1_macro,0.8762841798103815,2026-08-01T00:13:46+00:00,0e8e107,1
comparison-seed42-20260801-001346,comparison,efficientnet_b0,42.0,test,test_loss,0.3134107006539855,2026-08-01T00:13:46+00:00,0e8e107,1
comparison-seed43-20260801-002326,comparison,efficientnet_b0,43.0,test,best_val_loss,0.3681726764752936,2026-08-01T00:23:26+00:00,0e8e107,1
comparison-seed43-20260801-002326,comparison,efficientnet_b0,43.0,test,finetune.best_val_loss,0.3681726764752936,2026-08-01T00:23:26+00:00,0e8e107,1
comparison-seed43-20260801-002326,comparison,efficientnet_b0,43.0,test,finetune.epochs_completed,10.0,2026-08-01T00:23:26+00:00,0e8e107,1
comparison-seed43-20260801-002326,comparison,efficientnet_b0,43.0,test,finetune.global_epoch_offset,15.0,2026-08-01T00:23:26+00:00,0e8e107,1
comparison-seed43-20260801-002326,comparison,efficientnet_b0,43.0,test,head.best_val_loss,0.4399914040647041,2026-08-01T00:23:26+00:00,0e8e107,1
comparison-seed43-20260801-002326,comparison,efficientnet_b0,43.0,test,head.epochs_completed,5.0,2026-08-01T00:23:26+00:00,0e8e107,1
comparison-seed43-20260801-002326,comparison,efficientnet_b0,43.0,test,head.global_epoch_offset,5.0,2026-08-01T00:23:26+00:00,0e8e107,1
