method,model_name,corruption,group,severity,n_images,accuracy,f1_macro,f1_Neither,f1_Only_Fire,f1_Only_Smoke,f1_Both,accuracy_drop,relative_drop_pct,seed,checkpoint
iteration2,MobileNetV3-Small,none,clean,0,4306,0.8943334881560613,0.8547436641214226,0.942360936320161,0.7420634920634921,0.8636555508653441,0.8708946772366931,0.0,0.0,42,C:\git\fireDetection\checkpoints\iteration2-seed42\best_model.pt
iteration2,MobileNetV3-Small,none,clean,0,4306,0.8838829540176498,0.8477149480424345,0.9316367265469062,0.75,0.8465696465696466,0.8626534190531853,0.0,0.0,43,C:\git\fireDetection\checkpoints\iteration2-seed43\best_model.pt
iteration2,MobileNetV3-Small,none,clean,0,4306,0.9010682768230376,0.8522167353400287,0.9511155678114815,0.7030965391621129,0.8854515050167224,0.8692033293697978,0.0,0.0,44,C:\git\fireDetection\checkpoints\iteration2-seed44\best_model.pt
iteration2,MobileNetV3-Small,none,clean,0,4306,0.8785415699024617,0.8201199226134814,0.9442473390775469,0.6402640264026402,0.8644434820268515,0.8315248429468874,0.0,0.0,45,C:\git\fireDetection\checkpoints\iteration2-seed45\best_model.pt
iteration2,MobileNetV3-Small,none,clean,0,4306,0.8850441244774733,0.8477462857271634,0.9341134571355889,0.7414448669201521,0.852051388313303,0.8633754305396096,0.0,0.0,46,C:\git\fireDetection\checkpoints\iteration2-seed46\best_model.pt
iteration3,MobileNetV3-Small robust,none,clean,0,4306,0.8906177426846261,0.8518448064734704,0.9372787051087507,0.7404426559356136,0.8608333333333333,0.868824531516184,0.0,0.0,42,C:\git\fireDetection\checkpoints\iteration3-seed42\best_model.pt
iteration3,MobileNetV3-Small robust,none,clean,0,4306,0.8936367858801673,0.8544502749391218,0.9409687184661958,0.7434343434343434,0.8645268862025844,0.8688711516533637,0.0,0.0,43,C:\git\fireDetection\checkpoints\iteration3-seed43\best_model.pt
iteration3,MobileNetV3-Small robust,none,clean,0,4306,0.8873664653971203,0.8474599722292893,0.9342105263157895,0.7302231237322515,0.8552467855661551,0.8701594533029613,0.0,0.0,44,C:\git\fireDetection\checkpoints\iteration3-seed44\best_model.pt
iteration3,MobileNetV3-Small robust,none,clean,0,4306,0.8954946586158848,0.8631029429925711,0.9402310396785535,0.7770700636942676,0.8575020955574183,0.8776085730400451,0.0,0.0,45,C:\git\fireDetection\checkpoints\iteration3-seed45\best_model.pt
iteration3,MobileNetV3-Small robust,none,clean,0,4306,0.8866697631212263,0.8468653193751097,0.9346454706030785,0.7327935222672065,0.8547579298831386,0.8652643547470154,0.0,0.0,46,C:\git\fireDetection\checkpoints\iteration3-seed46\best_model.pt
iteration2,MobileNetV3-Small,brightness_down,seen_in_training,1,4306,0.882954017649791,0.8389091310758414,0.9357287449392713,0.7131782945736435,0.8558371416701288,0.8508923431203224,0.011379470506270306,1.2723967800571265,42,C:\git\fireDetection\checkpoints\iteration2-seed42\best_model.pt
iteration2,MobileNetV3-Small,brightness_down,seen_in_training,1,4306,0.8766836971667441,0.8388333694355588,0.9254254254254254,0.7344398340248963,0.8390004096681688,0.8564678086237448,0.007199256850905722,0.814503415659486,43,C:\git\fireDetection\checkpoints\iteration2-seed43\best_model.pt
iteration2,MobileNetV3-Small,brightness_down,seen_in_training,1,4306,0.8903855085926614,0.8366264454923414,0.9489414694894147,0.6824817518248175,0.8734864300626305,0.841596130592503,0.010682768230376172,1.185567010309273,44,C:\git\fireDetection\checkpoints\iteration2-seed44\best_model.pt
