order,tensor,producer_node,op_type,fp32_absmax,int8_absmax,fp32_all_zero,int8_all_zero,diverged_to_zero,scale,zero_point
920,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Sigmoid_output_0_DequantizeLinear_Output,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Sigmoid_output_0_DequantizeLinear,DequantizeLinear,1.0,1.0,0,0,0,0.003921568859368563,0.0
921,/model.22/m.0/m.0.0/cv1/conv/Conv_output_0,/model.22/m.0/m.0.0/cv1/conv/Conv,Conv,7.763167381286621,6.921684265136719,0,0,0,,
922,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul,Mul,25.81158447265625,40.571956634521484,0,0,0,,
923,/model.22/m.0/m.0.0/cv1/conv/Conv_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.0/cv1/conv/Conv_output_0_QuantizeLinear,QuantizeLinear,7.763167381286621,195.0,0,0,0,0.08789722621440887,129.0
924,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0_QuantizeLinear_Output,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0_QuantizeLinear,QuantizeLinear,25.81158447265625,149.0,0,0,0,0.27327761054039,1.0
925,/model.22/m.0/m.0.0/cv1/conv/Conv_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.0/cv1/conv/Conv_output_0_DequantizeLinear,DequantizeLinear,7.763167381286621,6.943881034851074,0,0,0,0.08789722621440887,129.0
926,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0_DequantizeLinear_Output,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0_DequantizeLinear,DequantizeLinear,25.81158447265625,40.44508743286133,0,0,0,0.27327761054039,1.0
927,/model.22/m.0/m.0.0/cv1/act/Sigmoid_output_0,/model.22/m.0/m.0.0/cv1/act/Sigmoid,Sigmoid,0.9973869323730469,0.9969853162765503,0,0,0,,
928,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv_output_0,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv,Conv,22.190961837768555,29.447782516479492,0,0,0,,
929,/model.22/m.0/m.0.0/cv1/act/Sigmoid_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.0/cv1/act/Sigmoid_output_0_QuantizeLinear,QuantizeLinear,0.9973869323730469,254.0,0,0,0,0.003921509720385075,0.0
930,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv_output_0_QuantizeLinear_Output,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv_output_0_QuantizeLinear,QuantizeLinear,22.190961837768555,189.0,0,0,0,0.29558390378952026,89.0
931,/model.22/m.0/m.0.0/cv1/act/Sigmoid_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.0/cv1/act/Sigmoid_output_0_DequantizeLinear,DequantizeLinear,0.9973869323730469,0.9960634708404541,0,0,0,0.003921509720385075,0.0
932,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv_output_0_DequantizeLinear_Output,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv_output_0_DequantizeLinear,DequantizeLinear,22.190961837768555,29.55838966369629,0,0,0,0.29558390378952026,89.0
933,/model.22/m.0/m.0.0/cv1/act/Mul_output_0,/model.22/m.0/m.0.0/cv1/act/Mul,Mul,5.9290995597839355,5.778380393981934,0,0,0,,
934,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Sigmoid_output_0,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Sigmoid,Sigmoid,1.0,1.0,0,0,0,,
935,/model.22/m.0/m.0.0/cv1/act/Mul_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.0/cv1/act/Mul_output_0_QuantizeLinear,QuantizeLinear,5.9290995597839355,135.0,0,0,0,0.044642653316259384,6.0
936,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Sigmoid_output_0_QuantizeLinear_Output,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Sigmoid_output_0_QuantizeLinear,QuantizeLinear,1.0,255.0,0,0,0,0.003921568859368563,0.0
937,/model.22/m.0/m.0.0/cv1/act/Mul_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.0/cv1/act/Mul_output_0_DequantizeLinear,DequantizeLinear,5.9290995597839355,5.758902072906494,0,0,0,0.044642653316259384,6.0
938,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Sigmoid_output_0_DequantizeLinear_Output,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Sigmoid_output_0_DequantizeLinear,DequantizeLinear,1.0,1.0,0,0,0,0.003921568859368563,0.0
939,/model.22/m.0/m.0.0/cv2/conv/Conv_output_0,/model.22/m.0/m.0.0/cv2/conv/Conv,Conv,7.575119972229004,6.0780744552612305,0,0,0,,
940,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul,Mul,22.190961837768555,29.55838966369629,0,0,0,,
941,/model.22/m.0/m.0.0/cv2/conv/Conv_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.0/cv2/conv/Conv_output_0_QuantizeLinear,QuantizeLinear,7.575119972229004,185.0,0,0,0,0.10725084692239761,132.0
942,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0_QuantizeLinear_Output,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0_QuantizeLinear,QuantizeLinear,22.190961837768555,154.0,0,0,0,0.19294509291648865,1.0
943,/model.22/m.0/m.0.0/cv2/conv/Conv_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.0/cv2/conv/Conv_output_0_DequantizeLinear,DequantizeLinear,7.575119972229004,6.113298416137695,0,0,0,0.10725084692239761,132.0
944,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0_DequantizeLinear_Output,/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0_DequantizeLinear,DequantizeLinear,22.190961837768555,29.520599365234375,0,0,0,0.19294509291648865,1.0
945,/model.22/m.0/m.0.0/cv2/act/Sigmoid_output_0,/model.22/m.0/m.0.0/cv2/act/Sigmoid,Sigmoid,0.9988470077514648,0.9966126084327698,0,0,0,,
946,/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0,/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv,Conv,76.6353988647461,128.5849151611328,0,0,0,,
947,/model.22/m.0/m.0.0/cv2/act/Sigmoid_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.0/cv2/act/Sigmoid_output_0_QuantizeLinear,QuantizeLinear,0.9988470077514648,254.0,0,0,0,0.003921561408787966,0.0
948,/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0_QuantizeLinear_Output,/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0_QuantizeLinear,QuantizeLinear,76.6353988647461,247.0,0,0,0,0.8705528974533081,252.0
949,/model.22/m.0/m.0.0/cv2/act/Sigmoid_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.0/cv2/act/Sigmoid_output_0_DequantizeLinear,DequantizeLinear,0.9988470077514648,0.9960765838623047,0,0,0,0.003921561408787966,0.0
950,/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0_DequantizeLinear_Output,/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0_DequantizeLinear,DequantizeLinear,76.6353988647461,128.84182739257812,0,0,0,0.8705528974533081,252.0
951,/model.22/m.0/m.0.0/cv2/act/Mul_output_0,/model.22/m.0/m.0.0/cv2/act/Mul,Mul,6.756434917449951,5.661993026733398,0,0,0,,
952,/model.23/Reshape_4_output_0,/model.23/Reshape_4,Reshape,76.6353988647461,128.84182739257812,0,0,0,,
953,/model.22/m.0/m.0.0/cv2/act/Mul_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.0/cv2/act/Mul_output_0_QuantizeLinear,QuantizeLinear,6.756434917449951,112.0,0,0,0,0.05293194577097893,5.0
954,/model.23/Reshape_4_output_0_QuantizeLinear_Output,/model.23/Reshape_4_output_0_QuantizeLinear,QuantizeLinear,76.6353988647461,247.0,0,0,0,0.8705528974533081,252.0
955,/model.22/m.0/m.0.0/cv2/act/Mul_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.0/cv2/act/Mul_output_0_DequantizeLinear,DequantizeLinear,6.756434917449951,5.663718223571777,0,0,0,0.05293194577097893,5.0
956,/model.23/Reshape_4_output_0_DequantizeLinear_Output,/model.23/Reshape_4_output_0_DequantizeLinear,DequantizeLinear,76.6353988647461,128.84182739257812,0,0,0,0.8705528974533081,252.0
